,分数,影评
34,推荐,"观影时，右边闺蜜默默流泪 左边姑娘犯困，时不时怂恿着中途退场……田壮壮演的父亲自然生动根本感觉不到他在演戏 田老师真真该多接点戏。周冬雨，井柏然，演技也在线，看顺了冬雨也变好看了？故事的正叙黑白 回忆彩色  穿插自然属于加分项   地铁里流浪歌手李剑青唱的平凡故事 ...

                         (展开)"
35,还行,"最后还是被长辈骗出了眼泪，有触动有释怀。很努力了，没有想象中矫情，但有些现在的逻辑还是有些生硬，部分台词略突兀。泪点不一，每个人的故事不同，我是因为发现了自己的孤独，甚至没有亲情在等候着我，累的时候无路可走，唯独我自己PS.为什么看电影的男生比女生多？以及真有...

                         (展开)"
36,推荐,"这篇影评可能有剧透

                        从看了预告片开始，就一直觉得这部电影真好看，周冬雨的角色跟以往完全不同，看上去就像是个乖乖女，真不愧是影后。而井柏然，其实我就看过他的捉妖记，感觉挺不错的，尤其最后赶胡巴走的时候。他在这里面的表演也是可圈可点，火车上相识的两人，拥有着一个梦想，可他们还是分...

                         (展开)"
37,较差,"在评价《后来的我们》之前，我必须要承认一点 我对这部电影是有期待的。 并且，我很难不对这片子藏有私心 无论是对刘若英本人的喜爱，尤其是在去年看过刘若英的演唱会之后，这种感觉在不断加深。 还是对《后来》这首歌曲本身。我相信对于绝大部分人来说，《后来》这首歌承载的...

                         (展开)"
38,很差,"当看到片头的“出品人”和“联合出品人”里有张一白、张嘉佳两位大师，我就觉得电影“稳了”。 国产青春爱情片的业界，还有比张一白更会把故事揉得稀碎、比张嘉佳更会制作PPT的导演吗？他们能投《后来的我们》，说明这部电影一定秉承了俩人的电影美学啊。 能够被《前任3》感动...

                         (展开)"
39,推荐,"感觉演的很好啊！估计会像前任那样，让很多人忆起往事吧！如果没分手，如果一直是你……如果没有如果！后来我们都很好，只是没有了我们！！全程泪点 明白了什么是微笑中还有泪 明白了什么是哭着还强颜欢笑……明白了什么是世界上最远的距离……明白了什么是无可奈何……明白了...

                         (展开)"
40,较差,"这篇影评可能有剧透

                        我自认是个多愁善感的人，去影院前特意查看了纸巾是否带够，然而全片下来竟然一张也没用上，实在是与期望值差距太大。 1.彩色&amp;黑白的梗不是脑残都能看明白吧。火车停开&amp;飞机停飞，这两慕镜头切换的时候觉得很有新意，只是安排见清说出“失去了颜色”真的是画蛇添足。 2...

                         (展开)"
41,推荐,"大城市里爱情的矛盾大概就是，爱上彼此之后，女孩从想要一个房变成想要一个家，男孩从想要一个家变成想要一个房。其实他们仍旧相爱，但这种错位的爱情，断掉了理解的通道。这就是见清和小晓的故事。错误的时间遇上对的人，注定遗憾收场，怀念一生。《后来的我们》什么都有了，...

                         (展开)"
42,力荐,"《后来的我们》评价毁誉参半，仔细想想最打动我的并非前任情结，或北漂奋斗史，而是那不断回归又一直在远离的故乡。人们在讨论见清和小晓的时候，往往给的标签是创业者、初恋、贫贱时相伴的人，却忘记了他们是老乡的身份。这个设定，遥远的北方小镇的家乡，父亲的年夜饭，以及...

                         (展开)"
43,较差,"这篇影评可能有剧透

                        其实看完电影我一直在思考一个问题，林见清是不是渣男？想了很久，仍旧觉得他挺渣的，或者说他也好，方小晓也好，都是极度自私的人。如果他们真的爱到至死不渝，那么又为何与其他人结婚生子呢？这样对妻子和孩子，何其不公？ 不过这类事情其实在目前的影视作品中还挺常见的，仔...

                         (展开)"
44,力荐,"“如果有一天伊恩再也找不到凯莉了会怎么样？” “伊恩的世界可能再也没有色彩。” 林见清和方小晓，如同这世间的许多人，为了梦想在北京闯荡。 幸运的是，那段贫穷而艰难的日子，有他们陪伴着彼此一步步走过来。 偌大的北京，卑微而渺小的两个人，在这座城市的高楼大厦，霓虹...

                         (展开)"
45,很差,"国产电影，除了喜剧，青春，还能拍点啥，无休止的贩卖情怀，无休止的大势营销，尼玛给我们整点内容啊，我现在才明白贾樟柯《天注定》为什么被封杀了，你越反映社会现实的问题，越让你上映遥遥无期，所以以后我们在电影院会看到越来越多的无脑的青春片，喜剧片……强卖CP感，资...

                         (展开)"
46,力荐,"这篇影评可能有剧透

                        “两个人有没有缘分，能够不负这份缘分就好了，想不负一生，太难了。” 《后来的我们》，最近看的电影不多，却是最喜欢的一部。 一直在想，如果我是小晓，遇见大学毕业一无所有的见清，也会很想不顾一切爱上一场。 如果我是见清，遇见小晓，遇见这些挫折，大概也没有办法把工作...

                         (展开)"
47,很差,"这篇影评可能有剧透

                        我真的挺喜欢奶茶的 但我不懂 我不懂 她为什么搞出这种比mv质量还低下的烂片. 我更喜欢周冬雨 但我不懂 我不懂她最近这些个戏路是什么鬼 明明是那么好拍的一个可儿人girl. 我更欣赏井柏然啊 但我不懂 我不懂 ok以他的颜 fine. 这破片有什么情节能触动你？？？？？ 你告诉我哪个...

                         (展开)"
48,力荐,"在青春片卷土重来的这几年，我原以为这又会一部不痛不痒或者用力过猛或者面目全非样子的影片。可还是想去影院看，就当做是情怀作祟吧，五月天×刘若英＝不去电影院良心过不去。 我觉得故事很完整，也很克制，无论是时代背景细节的还原刻画还是情绪的渲染表达上，都是很合格的，...

                         (展开)"
49,较差,"这篇影评可能有剧透

                        今天去看了最近炒的火热的《后来的我们》，导演是我喜欢的女神，主演是他喜欢的女神，本来以为是个挺有情怀的电影，但是，原谅我真的没看懂，而且个人觉得，编剧的某些观有点奇怪（有一点小剧透，希望不要被喷），为什么安排男女主角重逢后同住一间房？还各种忆当年，各种热烈...

                         (展开)"
50,还行,"这篇影评可能有剧透

                        瞎聊两句。 从电影院出来的时候，我前面两个朋友在闹别扭。女的说，你就惦记着她吧。男的紧着把女的往怀里搂，也不说什么。最后女的还是半推半就地不说话了。男的帮女的背上包，俩人拉着手上电梯了。 我觉得这就是生活和电影的区别。 你觉得电影里的错过遗憾吧，其实生活的瞬间...

                         (展开)"
51,很差,"我十分不喜欢本片的三观，最大的问题就是，你后半生的日子还不如和一个屁都没干的前任的过去，你的妻子，为你付出了半生，为你生孩子，做饭，洗衣服，一个女人的后半生，竟不如一个前任的几年，和前任在一起你就是开心的，生活是Colorful的，离了前任的你的生活就是灰色的，太...

                         (展开)"
52,较差,"实在想吐槽下，最近在追的北京女子图鉴在黑小镇公务员，这个也这么黑，好像当公务员就是没有理想抱负，过的就是一眼忘到头的生活，请各位编剧不要一味带偏三观。 高中时代特别喜欢周冬雨，干净文静。但是慢慢发现她演的角色都是鬼马精灵般的一个劲儿，也就让人腻了。喜欢井柏然...

                         (展开)"
53,很差,"我觉得电影里最恶心的情节之一就是：男主带新女友回家过年，父亲握住女孩的手说“小晓，你回来了。”这个时候女孩的脸色已经很难看了，男主角屁都不放一个。 说白了，就是丝毫不在乎女朋友的感受。人在面临尴尬时的反应往往是下意识的，那一刻的处理方式最能说明问题。嫁给这样...

                         (展开)"
54,推荐,"这篇影评可能有剧透

                        和很多人一样，决定去看《后来的我们》，是因为刘若英那首戳心的歌，《后来》。还因为女主角是周冬雨。本来没有抱太高期望，毕竟有太多前车之鉴了，跨界导演，打情怀牌的，很多都只剩下情怀。但看着看着，情绪却不由得随着剧情起起伏伏，好几次泪水都差点夺眶而出。 尤其是当田...

                         (展开)"
55,很差,"这篇影评可能有剧透

                        和前任3异曲同工 边看边骂街 边看边想有弹幕吐槽 已婚已育男人和前任在一起回忆一夜有多相爱 已婚已育男人和现任孩子在一起一切都是黑白色的 这种价值观接受不了 谁逼你脱裤子还下崽儿的 忘不掉的前任 可以不去祸害别人 当初，这个前任择偶观扭曲 喝酒打架抽烟骂街 真不知道男...

                         (展开)"
56,还行,"后来真的是催泪曲目啊 听不懂但是催泪 怕以后听懂了就没有我们了 后来的我们什么都有了 却没有了我们 看到出来时很期待的去看了 周冬雨的演技的确够硬就是同类型的太多了 说真的我看完之后记不住他俩的爱情 我不认同这种爱情观 但是在这种爱情里他们的确演得不错 最后被父亲的...

                         (展开)"
57,推荐,"这篇影评可能有剧透

                        昨晚夜里看完了刘若英的《后来的我们》，眼泪突然间就崩出来了。我看到很多人评论都说它烂，它靠情怀，它三观不正...许多诸如此类的评论迎面扑来，让我来不及思考自己看完的第一感觉是否符合大流的价值观。 北漂的话题，可能是真的已经被写烂了。但是不可否认的是乡镇青年大城...

                         (展开)"
58,较差,"这部电影各个平台的想看人数和预售真是吓到我了，本以为会很好看，看了预告本以为会很感人，带了两包纸巾去电影院，哎，结果一张没用上，每次到快要被感动的时候，然后就各种镜头乱入，莫名其妙的穿插，太累，让人非常的出戏。然后剧情真的很垃圾，矫揉造作，无病呻吟，没有一...

                         (展开)"
59,推荐,"这是一部超级好的电影。 总会让人想起每个人的过去 电影中有一幕特别的戳心，就是男主给女主说，我怎么这么不懂你 女主说，你什么时候懂过我 就这样 两个人在相濡以沫之后 不得不 相忘于江湖 希望 每个人 都可以珍惜现在身边的人，不要用自己的价值判断去判断别人，也不要把自...

                         (展开)"
60,推荐,"看完电影沉淀了两天，豆瓣从6.6降到6.0，很多一颗星的抵制性评分，看得我慎得慌，终于打算做个评论，仅代表个人观点。 个人觉得，整部电影的色调和质感都很好；演员与角色的匹配度高，演技在线，从演员角度呈现的效果是很不错的，点赞刘若英演员选得用心；再者不出预料，电影细...

                         (展开)"
61,推荐,"这篇影评可能有剧透

                        看完《后来的我们》，我心里却一直在想：幸好他们最后没有走到一起（请原谅我的阴暗），否则奶茶就不会把《后来》唱成了经典，也压根就不会诞生这部《后来的我们》。 这个充满了失望遗憾失败的沧桑世界里，不如意之事十之八九，失意很正常，错过是常态，无论感情、事业，还是梦...

                         (展开)"
62,还行,"无数次的感叹，如果时光可以倒流，如果我可以回到从前，那该多好。而从前究竟是停留在哪里呢？懵懂羞涩的青春还是不够努力的曾经，于似乎那些所有的遗憾，我们都试着用“如果”去弥补。 如果我高中的时候多努力一点，我可能现在在清北复旦人大(醒醒吧 智商)，如果我大学认真一...

                         (展开)"
63,推荐,"今天刚和朋友去看了这部电影，不得不说，周冬雨演技真炸，井宝进步也很大，剧情绝对可以。只是觉得电影的拍摄有点问题，这和编剧是分不开的，好几次都是直接回忆跳转场景，没有给观众喘息的机会，而且台词有些也有点尬，但总体还可以，对情感力度的把握很好，开场和前提有点简...

                         (展开)"
64,还行,"这篇影评可能有剧透

                        本文首发于电影幕后故事微信公众号（微信号“saymovie”），欢迎关注，看幕后君第一时间为你评新片，品经典。 我去看《后来的我们》之前，女同事给我的建议是带一大包纸巾，我心想：多感人的电影我没看过，这都是小case~ 结果妹想到，我还真哭了！结尾田壮壮念信那段真是催出了...

                         (展开)"
65,较差,"两颗星，一颗星给田壮壮一颗星给陈升。告诫以后还想拍ex情节的导演们问问广大观众是否还有ex可以拉出来烧纸了。整个电影就俩字「不对」，北京生存环境不对，把北漂定义为住地下室人生目标是在北京买房，这种狭隘的不健康价值观建议奶茶亲自去北京体验生活两年。俩人生活态度不...

                         (展开)"
66,还行,"1 《后来的我们》未映先热，宣发也引起了H5刷屏，预售票房破亿的新纪录。 如今有群体退票事件和刷票的报道，发行商虽然有解释，但一切真相还是扑朔迷离。 无论如何，电商平台，发行方，放映方，制片方，四方合一的垄断做法，造就了国内电影不得不重新检视自己市场的命题。 同时...

                         (展开)"
67,较差,"又是一个部卖情怀的电影, 打着怀念青春的噱头 错投青春片的市场 说着令人矫情到发指的玛丽苏台词 毫无头绪的片段... 看得我尴尬癌都要发作了 刘若英还是好好的唱歌吧..     演了半天才明白什么意思..虽然一环接着一环 但是给我的感觉 太乱了…中间有几次笑点..我以为我会被这部...

                         (展开)"
68,力荐,"开始30秒，周冬雨的那个眼神，用了我一张纸巾…… ""伊恩找到凯利的话，帮我跟她说对不起""当它重复出现三次时，我已泣不成声…… 陈奕迅的""我们""在QQ音乐听到时，觉得一般 ; 感觉还不如插曲""爱了很久的朋友"" ; 但在影片中两次出现时，却是十足的催泪弹…… 看到评论很多负面的评...

                         (展开)"
69,较差,"靠情怀宣传的，成在演技毁在编剧。感觉刘若英是打酱油的，《后来》依旧深入人心，但《后来的我们》却不如人意。  说实话，忍不住吐槽：剧情很老套毁三观，演员演技很尬，全程无亮点，整个剧很乱，像MV，期间更是强行硬凑了好多文艺句子上去……这些大概就是我对这部影片的评价...

                         (展开)"
70,还行,"其实看完之后对于在十年前在北京奋斗过的“我们”，在爱过分开，最后没有结果也没有如果的“我们”，可能已经哭成狗了。回忆里面的爱情，回忆里面的北京，回忆里面的奋斗，回忆里面的青春。 《后来》这首歌唱出了多少人的内心，多少人的情怀。 演员都很好，男女主都很不错，到...

                         (展开)"
71,推荐,"《后来的我们》很虐，我们被周冬雨这个精灵般的女孩牵引着，同欢乐，共悲伤，  周冬雨演出了小晓的小任性和小疯狂，也演出了寻爱过程中的孤独和无奈，  看到片中的小晓，如此真实鲜活。   演得越来越好，小小身躯，竟然蕴藏着如此大的演技能量。方小晓这个角色游走于现实与理想...

                         (展开)"
72,还行,"走完同一条街，  回到两个世界  ，多年后一通电话 你告诉我你要结婚了   要成为一个好妈妈的时候    ，我就明白 ，后来的我们 什么都不再。 十四年的感情  ，当年的你  ，是否安好？ 故事还算完整，田老爷子的表演直戳泪点，周冬雨依然是傻白甜、没心没肺型的（这是褒义😂）...

                         (展开)"
73,还行,"这是一部有爱情有亲情的电影，《后来的我们》讲述了林见清（井柏然饰）和方小晓（周冬雨饰）跨越十年的甜虐爱情故事。两人在十年前相遇、相恋，随后却分手，天各一方；十年后，两人重逢，过往的甜蜜又一次涌上了心头。不过，千万不要以为影片只讲了爱情，片中田壮壮饰演的林父...

                         (展开)"
74,力荐,"这篇影评可能有剧透

                        “为什么从来都没有一个故事，从头到尾都是幸福的呢？” “幸福不是故事，不幸才是。” 从相识、相知、相伴、相爱， 到相负、相弃、相念、相忆。 彩色的过去， 黑白的现在， 直到彼此释怀， 才重新恢复鲜艳的世界。 【小晓 X 见淸】 【Ian X Kelly】 见淸在小晓离开后，开始了...

                         (展开)"
75,推荐,"这篇影评可能有剧透

                        利益相关：导演刘若英的多年粉丝。 声明：以下影评不带有粉丝滤镜，尽量做到公正客观。 评分：7-7.5 当初听到刘若英要当导演的时候，作为粉丝，是期待的，毕竟她太久没有做与电影相关的工作，而以她的天赋与能力，这是多么可惜的一件事。诚如她所言，这个年纪能够接到的合适且...

                         (展开)"
76,很差,"唯一一部看完之后只给了一星的片子，感觉甚至比之前看过的三生三世还要稀烂。矫情的台词，突兀的剧情，没来由的切换现实与过往。除了田壮壮作为男主爸爸给女主写的那封信撑起了这部烂片，全片毫无精彩之处。不知道为什么会有那么多人引起共鸣，没有来由的突然爱一个人爱得死去...

                         (展开)"
77,推荐,"《后来的我们》很多人说卖情怀，可是会发现很多有才华的演则有而导的女性，第一部片愿意尝试所谓的“卖情怀”片。大概是因为这种影片逻辑线最容易安排，叙事相对简单，而且有关青春、奋斗、初恋这种故事总是久唱不衰的，毕竟，青春的人一代代，青春却永远青春。 卖情怀又怎样呢...

                         (展开)"
78,很差,"不用看我就知道是垃圾。唱歌水平一般的刘若英，把自己文青人设那点好印象败了个精光！要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足140字？要凑足14...

                         (展开)"
79,推荐,"作为一个电影院里哭的稀里哗啦冠军🏆，来说 1. 周冬雨素颜真好看，当时就想虽然分手了告别了也要美美的，还是美美的好呀。那么伤春悲秋干嘛呢，贱人就是娇情。睡不好啊睡不着啊黑眼圈呀都是自找大！ 2.井柏然之前也不喜欢他，命好，比付辛博来说。可是这部电影里，活了。 3. ...

                         (展开)"
80,力荐,"1.有不可避免的轻微细节性剧透，但无连贯剧情透露，介意者别往下翻啦 2.第一次在豆瓣写影评，也是第一次这么想给一部影片正名，太长了不想字斟句酌了，只想尽可能把想到的写出来，介意文章语句结构的也别往下翻拉 3.有点长没图片，还是希望你看完，也能有点什么思考，而不是随...

                         (展开)"
81,推荐,"应该说在刘若英还没有开始宣传的时候我就期待这部电影了，因为周冬雨作品必属精品啊！结果后来奶茶各种宣传，各种炒作，我就开始心惊胆战了，本来就是类似前任三的故事，加上商业套路，烂片无疑了~但是对不起，我最后决定给八分！ 首先来说真实感受是及格到八分之间的水平。看...

                         (展开)"
